MMSI,Time,SOG,Longitude,Latitude,COG
26,20190311_193100,1.50,-43.127,-22.827,230
3,20190311_193100,7.10,-43.021,-23.046,180
46,20190311_211000,8.40,-43.126,-22.873,290
3,20190311_211100,2.50,-43.117,-22.882,44
3,20190311_223200,8.50,-43.143,-22.851,26
26,20190312_040100,10.10,-43.112,-22.871,343.90
6,20190312_103500,11.40,-43.16,-22.859,322
6,20190312_120500,7.80,-43.121,-22.877,167.40
5,20190312_120500,10.90,-42.531,-23.06,220
6,20190312_193200,14.10,-43.18,-22.855,340
3,20190312_195900,8.50,-43.143,-22.851,26
6,20190312_195900,10.40,-43.145,-22.84,246
46,20190312_200600,2,-43.188,-22.888,301.50
5,20190312_200700,8.70,-43.121,-22.878,250.50
3,20190312_202900,1.60,-43.172,-22.902,355.30
0,20190312_203000,17.10,-43.138,-22.891,117.60
26,20190312_203300,1.50,-43.127,-22.827,230
5,20190312_203700,11.10,-43.141,-22.846,334
3,20190312_213600,2.50,-43.126,-22.873,44
6,20190312_213700,22.60,-43.121,-22.878,101.70
6,20190312_220300,9.50,-43.139,-22.839,104
3,20190312_220500,6,-43.11,-22.819,101.60
3,20190313_105900,1.60,-43.171,-22.903,355.30
3,20190313_110200,5.70,-43.147,-22.835,268
6,20190313_120000,10.40,-43.12,-22.88,246
5,20190313_124300,8.70,-43.125,-22.894,250.50
26,20190313_140900,1.50,-43.131,-22.828,230
3,20190313_142900,11,-43.162,-22.823,227
6,20190313_143300,9.50,-43.139,-22.838,104
3,20190313_143500,8.50,-43.144,-22.85,26
3,20190313_160600,10.90,-43.14,-22.844,227.70
26,20190313_213500,4,-43.144,-22.921,311
5,20190313_230900,8.70,-43.153,-22.876,250.50
3,20190314_143600,11.60,-43.145,-22.841,156
26,20190314_193300,13.10,-43.15,-22.846,334
26,20190314_220900,16.10,-43.18,-22.858,223
46,20190314_223500,2,-43.188,-22.887,301.50
6,20190315_070600,19.50,-43.165,-22.943,102.10
26,20190315_151500,4.80,-43.048,-23.019,358
26,20190315_151500,13,-43.167,-22.902,257.80
26,20190315_163000,13.10,-43.15,-22.846,334
6,20190315_180700,14.10,-43.184,-22.853,340
5,20190315_193400,7,-43.157,-22.811,204.10
3,20190315_195900,1.10,-43.122,-22.87,159
3,20190315_210300,9.70,-43.151,-22.85,166
3,20190315_210700,2.30,-43.132,-22.843,136
6,20190315_210700,10.70,-43.13,-22.988,54
5,20190316_103600,7,-43.171,-22.901,204.10
6,20190316_113800,10.70,-43.142,-22.837,54
26,20190316_220000,13.10,-43.15,-22.846,334
26,20190316_223400,7.90,-43.132,-22.966,161
6,20190317_193400,8.40,-43.144,-22.847,156
6,20190317_200700,13,-43.128,-22.837,336
26,20190317_213100,13.10,-43.15,-22.846,334
6,20190317_220400,11.40,-43.138,-22.95,268
6,20190317_220800,9.90,-43.144,-23.037,282
26,20190318_110300,10.60,-43.136,-22.895,82.20
6,20190318_120000,5,-43.117,-22.88,284
3,20190318_120800,9.70,-43.151,-22.85,166
5,20190318_121200,3.40,-43.123,-22.826,335
3,20190318_180100,2,-43.143,-22.84,108
46,20190318_190100,6,-43.171,-22.903,247.60
26,20190318_210400,13.10,-43.15,-22.845,334
5,20190318_211300,9.30,-43.163,-22.897,228.50
6,20190318_220900,3.50,-43.128,-22.821,337
6,20190318_221000,13,-43.128,-22.837,336
26,20190318_222900,2.50,-43.121,-22.878,47.40
6,20190318_223100,1.60,-43.171,-22.903,24.70
5,20190319_091200,9.30,-43.166,-22.9,228.50
5,20190319_092800,11.90,-43.14,-23.03,234
3,20190319_093200,1.70,-43.138,-22.854,30
46,20190319_160800,6,-43.171,-22.903,247.60
6,20190319_163200,20.40,-43.171,-22.903,119.70
6,20190319_210700,13,-43.128,-22.837,336
6,20190319_223000,1.60,-43.125,-22.894,24.70
26,20190319_223400,13.10,-43.149,-22.846,334
